"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Maastricht Aachen Airport";"2010 January";765;1070;528;474;5285;5625;0
"Maastricht Aachen Airport";"2010 February";764;1752;505;439;5391;4999;0
"Maastricht Aachen Airport";"2010 March";1596;3568;562;515;7807;5527;0
"Maastricht Aachen Airport";"2010 April";1169;2368;503;473;11353;4608;0
"Maastricht Aachen Airport";"2010 May";1476;2284;788;736;22578;5450;0
"Maastricht Aachen Airport";"2010 June";1598;2164;836;804;25498;4473;0
"Maastricht Aachen Airport";"2010 July";1609;1362;881;844;34321;3915;0
"Maastricht Aachen Airport";"2010 August";1496;1142;952;894;35917;4963;0
"Maastricht Aachen Airport";"2010 September";1448;1475;902;829;32011;4777;0
"Maastricht Aachen Airport";"2010 October";1471;1738;867;796;29690;5647;0
"Maastricht Aachen Airport";"2010 November";996;986;570;529;9150;6242;0
"Maastricht Aachen Airport";"2010 December";723;390;549;463;7634;5750;0
"Maastricht Aachen Airport";"2011 January";726;1516;288;258;7774;5452;0
"Maastricht Aachen Airport";"2011 February";743;1558;299;259;8464;5610;0
"Maastricht Aachen Airport";"2011 March";1265;1624;406;382;17592;7446;0
"Maastricht Aachen Airport";"2011 April";1036;1120;550;502;36048;6016;0
"Maastricht Aachen Airport";"2011 May";1107;1324;609;575;40370;5967;0
"Maastricht Aachen Airport";"2011 June";1022;1580;629;576;40209;5098;0
"Maastricht Aachen Airport";"2011 July";968;1168;576;540;44085;4590;0
"Maastricht Aachen Airport";"2011 August";1018;1034;596;556;46920;4890;0
"Maastricht Aachen Airport";"2011 September";1126;1174;580;539;41470;4472;0
"Maastricht Aachen Airport";"2011 October";1033;982;562;515;38851;4363;0
"Maastricht Aachen Airport";"2011 November";708;1112;329;271;6751;5023;0
"Maastricht Aachen Airport";"2011 December";612;554;346;292;5376;6474;0
"Maastricht Aachen Airport";"2012 January";733;828;308;264;4909;4733;0
"Maastricht Aachen Airport";"2012 February";675;1010;336;282;4223;5849;0
"Maastricht Aachen Airport";"2012 March";1179;1320;372;328;9478;5131;0
"Maastricht Aachen Airport";"2012 April";836;678;473;430;31828;4235;0
"Maastricht Aachen Airport";"2012 May";956;1100;566;474;36673;3986;0
"Maastricht Aachen Airport";"2012 June";989;1682;518;461;33476;3893;0
"Maastricht Aachen Airport";"2012 July";999;1488;545;496;46797;3523;0
"Maastricht Aachen Airport";"2012 August";1055;1686;543;498;45125;3145;0
"Maastricht Aachen Airport";"2012 September";1015;970;513;459;36458;3863;0
"Maastricht Aachen Airport";"2012 October";901;830;512;442;31208;3916;0
"Maastricht Aachen Airport";"2012 November";671;620;355;287;8555;4874;0
"Maastricht Aachen Airport";"2012 December";630;412;404;341;16709;5414;0
"Maastricht Aachen Airport";"2013 January";607;350;414;366;16087;4296;0
"Maastricht Aachen Airport";"2013 February";618;374;401;346;16421;4574;0
"Maastricht Aachen Airport";"2013 March";1224;430;479;424;21892;5649;0
"Maastricht Aachen Airport";"2013 April";917;408;580;518;43092;4537;0
"Maastricht Aachen Airport";"2013 May";959;464;613;576;47093;4838;0
"Maastricht Aachen Airport";"2013 June";1021;184;607;547;41080;4172;0
"Maastricht Aachen Airport";"2013 July";916;76;656;584;57650;4170;0
"Maastricht Aachen Airport";"2013 August";971;206;626;581;58868;3773;0
"Maastricht Aachen Airport";"2013 September";950;190;590;522;44163;3453;0
"Maastricht Aachen Airport";"2013 October";976;290;613;539;48287;4675;0
"Maastricht Aachen Airport";"2013 November";639;58;408;338;17727;4933;0
"Maastricht Aachen Airport";"2013 December";549;138;353;294;17185;4959;0
"Maastricht Aachen Airport";"2014 January";571;104;340;296;11130;4725;0
"Maastricht Aachen Airport";"2014 February";597;86;348;276;11187;4695;0
"Maastricht Aachen Airport";"2014 March";1072;96;402;320;13284;5346;0
"Maastricht Aachen Airport";"2014 April";737;192;408;368;23343;5425;0
"Maastricht Aachen Airport";"2014 May";817;178;456;405;25966;5647;0
"Maastricht Aachen Airport";"2014 June";841;98;461;392;23303;5677;0
"Maastricht Aachen Airport";"2014 July";906;154;514;432;28814;4397;0
"Maastricht Aachen Airport";"2014 August";755;144;492;404;32593;3412;0
"Maastricht Aachen Airport";"2014 September";872;614;485;401;28138;3732;0
"Maastricht Aachen Airport";"2014 October";902;1638;486;394;26408;4162;0
"Maastricht Aachen Airport";"2014 November";768;1701;336;256;8320;4434;0
"Maastricht Aachen Airport";"2014 December";509;416;298;241;8987;5040;0
"Maastricht Aachen Airport";"2015 January";477;824;268;217;6323;4041;0
"Maastricht Aachen Airport";"2015 February";504;1466;232;191;6309;4099;0
"Maastricht Aachen Airport";"2015 March";882;1580;265;225;7310;4565;0
"Maastricht Aachen Airport";"2015 April";769;1814;327;280;17961;4190;0
"Maastricht Aachen Airport";"2015 May";886;1598;395;326;23331;4394;0
"Maastricht Aachen Airport";"2015 June";1011;1532;394;335;23003;4362;0
"Maastricht Aachen Airport";"2015 July";810;1372;383;338;25580;3647;0
"Maastricht Aachen Airport";"2015 August";917;1100;410;343;26824;3644;0
"Maastricht Aachen Airport";"2015 September";759;924;365;322;22278;3982;0
"Maastricht Aachen Airport";"2015 October";765;1382;401;320;22040;3823;0
"Maastricht Aachen Airport";"2015 November";648;1052;318;267;8562;7265;0
"Maastricht Aachen Airport";"2015 December";576;382;307;258;5659;8610;0
"Maastricht Aachen Airport";"2016 January";521;1014;294;253;4968;8120;0
"Maastricht Aachen Airport";"2016 February";582;660;306;247;5891;8082;0
"Maastricht Aachen Airport";"2016 March";977;854;386;260;8540;9250;0
"Maastricht Aachen Airport";"2016 April";816;1334;367;238;17161;4169;0
"Maastricht Aachen Airport";"2016 May";790;954;343;278;20207;4097;0
"Maastricht Aachen Airport";"2016 June";946;988;500;422;42144;3037;0
"Maastricht Aachen Airport";"2016 July";838;940;318;230;17441;2219;0
"Maastricht Aachen Airport";"2016 August";713;580;283;222;18147;2283;0
"Maastricht Aachen Airport";"2016 September";634;438;275;199;13600;2058;0
"Maastricht Aachen Airport";"2016 October";663;910;312;243;15100;5204;0
"Maastricht Aachen Airport";"2016 November";631;919;280;218;6486;6648;0
"Maastricht Aachen Airport";"2016 December";572;1014;267;190;6877;5312;0
"Maastricht Aachen Airport";"2017 January";476;592;229;168;6095;2923;0
"Maastricht Aachen Airport";"2017 February";580;468;284;198;5562;5677;0
"Maastricht Aachen Airport";"2017 March";991;1198;328;223;6847;6917;0
"Maastricht Aachen Airport";"2017 April";788;750;341;255;15478;5478;0
"Maastricht Aachen Airport";"2017 May";841;796;431;324;21751;6034;0
"Maastricht Aachen Airport";"2017 June";852;1740;386;300;18631;4813;0
"Maastricht Aachen Airport";"2017 July";872;1214;407;332;22693;6634;0
"Maastricht Aachen Airport";"2017 August";839;866;390;330;23054;7403;0
"Maastricht Aachen Airport";"2017 September";824;406;440;355;21509;8178;0
"Maastricht Aachen Airport";"2017 October";749;772;411;330;18813;9550;0
"Maastricht Aachen Airport";"2017 November";678;444;416;262;3222;11955;0
"Maastricht Aachen Airport";"2017 December";563;60;356;255;3889;11209;0
"Maastricht Aachen Airport";"2018 January";535;385;291;230;3286;7157;0
"Maastricht Aachen Airport";"2018 February";624;614;334;264;3022;8936;0
"Maastricht Aachen Airport";"2018 March";920;572;371;287;5502;9105;0
"Maastricht Aachen Airport";"2018 April";949;656;505;393;17477;8241;0
"Maastricht Aachen Airport";"2018 May";992;578;575;492;34418;7828;0
"Maastricht Aachen Airport";"2018 June";842;328;491;424;31299;6122;0
"Maastricht Aachen Airport";"2018 July";1093;322;641;577;46636;6611;0
"Maastricht Aachen Airport";"2018 August";1073;300;685;600;53040;7392;0
"Maastricht Aachen Airport";"2018 September";964;254;589;470;34945;8901;0
"Maastricht Aachen Airport";"2018 October";947;312;620;528;32462;12393;0
"Maastricht Aachen Airport";"2018 November";815;660;479;391;7528;13974;0
"Maastricht Aachen Airport";"2018 December";680;364;436;352;5498;14164;0
"Maastricht Aachen Airport";"2019 January";631;178;413;346;6140;10802;0
"Maastricht Aachen Airport";"2019 February";759;164;456;356;6817;12526;0
"Maastricht Aachen Airport";"2019 March";1008;156;454;351;6914;10654;0
"Maastricht Aachen Airport";"2019 April";1005;228;622;519;32795;11416;0
"Maastricht Aachen Airport";"2019 May";1140;296;723;585;49734;10892;0
"Maastricht Aachen Airport";"2019 June";1094;294;678;562;50048;8081;0
"Maastricht Aachen Airport";"2019 July";1209;260;808;689;69715;8248;0
"Maastricht Aachen Airport";"2019 August";1017;270;713;602;76289;4682;0
"Maastricht Aachen Airport";"2019 September";1009;180;641;481;59255;3818;0
"Maastricht Aachen Airport";"2019 October";931;186;616;490;46190;6548;0
"Maastricht Aachen Airport";"2019 November";861;293;564;419;16446;11781;0
"Maastricht Aachen Airport";"2019 December";740;176;511;384;15634;12009;0
"Maastricht Aachen Airport";"2020 January";671;214;474;369;15115;9174;0
"Maastricht Aachen Airport";"2020 February";696;134;476;365;14354;10433;0
"Maastricht Aachen Airport";"2020 March";787;146;485;320;7242;7514;0
"Maastricht Aachen Airport";"2020 April";414;92;329;209;5;10165;0
"Maastricht Aachen Airport";"2020 May";627;230;452;309;4;12780;0
"Maastricht Aachen Airport";"2020 June";751;282;489;374;389;13528;0
"Maastricht Aachen Airport";"2020 July";961;290;621;506;12952;13050;0
"Maastricht Aachen Airport";"2020 August";938;196;615;475;16818;13194;0
"Maastricht Aachen Airport";"2020 September";849;278;516;399;5511;10568;0
"Maastricht Aachen Airport";"2020 October";815;292;587;473;4710;12969;0
"Maastricht Aachen Airport";"2020 November";780;430;548;423;2139;12034;0
"Maastricht Aachen Airport";"2020 December";673;106;535;375;1841;10575;0
"Maastricht Aachen Airport";"2021 January";552;52;468;345;1049;7637;0
"Maastricht Aachen Airport";"2021 February";649;86;537;410;448;12151;0
"Maastricht Aachen Airport";"2021 March";769;247;560;435;373;12171;0
"Maastricht Aachen Airport";"2021 April";831;342;563;450;1474;11032;0
"Maastricht Aachen Airport";"2021 May";866;382;555;437;2223;11147;0
"Maastricht Aachen Airport";"2021 June";746;264;460;351;4454;7626;0
"Maastricht Aachen Airport";"2021 July";960;240;583;482;22399;8125;0
"Maastricht Aachen Airport";"2021 August";923;265;600;498;24199;9354;0
"Maastricht Aachen Airport";"2021 September";1096;360;623;469;16364;11339;0
"Maastricht Aachen Airport";"2021 October";1088;270;656;525;17826;12393;0
"Maastricht Aachen Airport";"2021 November";810;274;523;403;3744;12787;0
"Maastricht Aachen Airport";"2021 December";700;130;473;383;3093;12234;0
"Maastricht Aachen Airport";"2022 January*";613;58;431;290;5880;9035;0
"Maastricht Aachen Airport";"2022 February*";681;193;398;288;3288;7746;0
"Maastricht Aachen Airport";"2022 March*";853;330;434;350;3371;9372;0
"Maastricht Aachen Airport";"2022 April*";938;280;514;393;15386;9763;0
"Maastricht Aachen Airport";"2022 May*";1073;420;542;399;22019;8634;0
"Maastricht Aachen Airport";"2022 June*";1258;454;599;396;20728;9584;0
"Maastricht Aachen Airport";"2022 July*";1305;216;712;580;45778;9898;0
"Maastricht Aachen Airport";"2022 August*";1063;198;696;570;53999;8161;0
"Maastricht Aachen Airport";"2022 September*";942;194;640;479;35942;9230;0
"Maastricht Aachen Airport";"2022 October*";869;310;587;486;30520;10154;0
"Maastricht Aachen Airport";"2022 November*";738;184;460;294;15032;9321;0
"Maastricht Aachen Airport";"2022 December*";576;88;396;288;14089;7321;0
"Maastricht Aachen Airport";"2023 January*";548;158;376;277;13518;5133;0
"Maastricht Aachen Airport";"2023 February*";581;170;331;228;13883;4113;0
"Maastricht Aachen Airport";"2023 March*";815;146;423;234;15890;3661;0
"Maastricht Aachen Airport";"2023 April*";631;306;326;204;15696;2670;0
"Maastricht Aachen Airport";"2023 May*";131;72;60;38;3485;282;0
"Maastricht Aachen Airport";"2023 June*";0;0;0;0;0;0;0
"Maastricht Aachen Airport";"2023 July*";788;248;525;381;38134;2166;0
"Maastricht Aachen Airport";"2023 August*";755;356;479;377;43360;1993;0
"Groningen Airport Eelde";"1999 January";1016;5204;235;205;3196;0;
"Groningen Airport Eelde";"1999 February";874;3488;215;185;2760;0;
"Groningen Airport Eelde";"1999 March";1384;6842;262;227;3872;0;
"Groningen Airport Eelde";"1999 April";1332;6064;120;56;4527;0;
"Groningen Airport Eelde";"1999 May";1572;6058;168;54;11606;0;
"Groningen Airport Eelde";"1999 June";1709;6600;202;55;12635;0;
"Groningen Airport Eelde";"1999 July";1652;5870;162;26;11160;0;
"Groningen Airport Eelde";"1999 August";1227;5116;156;32;12766;0;
"Groningen Airport Eelde";"1999 September";1382;6604;183;34;13182;0;
"Groningen Airport Eelde";"1999 October";1281;5388;155;40;9985;0;
"Groningen Airport Eelde";"1999 November";974;5968;132;53;2539;0;
"Groningen Airport Eelde";"1999 December";710;3564;84;19;1940;0;
"Groningen Airport Eelde";"2000 January";717;3554;86;27;2327;0;
"Groningen Airport Eelde";"2000 February";862;5180;92;33;2118;0;
"Groningen Airport Eelde";"2000 March";954;5348;105;32;3432;0;
"Groningen Airport Eelde";"2000 April";1210;6028;121;29;2796;0;
"Groningen Airport Eelde";"2000 May";1380;6122;184;29;6155;0;
"Groningen Airport Eelde";"2000 June";1179;4710;160;24;5243;0;
"Groningen Airport Eelde";"2000 July";1014;4606;130;12;9917;0;
"Groningen Airport Eelde";"2000 August";1199;5328;148;18;16084;0;
"Groningen Airport Eelde";"2000 September";1002;3974;164;18;15039;0;
"Groningen Airport Eelde";"2000 October";903;3788;144;20;10694;0;
"Groningen Airport Eelde";"2000 November";871;5006;88;20;2546;0;
"Groningen Airport Eelde";"2000 December";683;3436;53;10;1915;0;
"Groningen Airport Eelde";"2001 January";562;3066;48;11;2430;0;
"Groningen Airport Eelde";"2001 February";663;3000;53;4;2107;0;
"Groningen Airport Eelde";"2001 March";747;3942;59;2;3232;0;
"Groningen Airport Eelde";"2001 April";1210;6028;121;29;4514;0;
"Groningen Airport Eelde";"2001 May";1294;4578;142;2;14319;0;
"Groningen Airport Eelde";"2001 June";1362;4006;135;5;8674;0;
"Groningen Airport Eelde";"2001 July";1299;4314;161;;14641;0;
"Groningen Airport Eelde";"2001 August";1256;4828;146;2;13376;0;
"Groningen Airport Eelde";"2001 September";1010;3988;302;157;13178;0;
"Groningen Airport Eelde";"2001 October";1196;4176;311;166;12815;0;
"Groningen Airport Eelde";"2001 November";950;3972;200;153;2460;0;
"Groningen Airport Eelde";"2001 December";677;3200;150;108;2474;0;
"Groningen Airport Eelde";"2002 January";847;2936;188;147;2764;0;
"Groningen Airport Eelde";"2002 February";855;3322;172;138;2587;0;
"Groningen Airport Eelde";"2002 March";1296;5864;211;164;3737;0;
"Groningen Airport Eelde";"2002 April";1250;5052;239;132;7810;0;
"Groningen Airport Eelde";"2002 May";1442;5540;339;164;17283;0;
"Groningen Airport Eelde";"2002 June";1502;4820;324;146;12879;0;
"Groningen Airport Eelde";"2002 July";1343;5460;200;38;17831;0;
"Groningen Airport Eelde";"2002 August";1319;5456;137;0;10929;0;
"Groningen Airport Eelde";"2002 September";1635;6922;166;0;14700;0;
"Groningen Airport Eelde";"2002 October";967;3630;154;0;11139;0;
"Groningen Airport Eelde";"2002 November";749;3270;59;0;2886;0;
"Groningen Airport Eelde";"2002 December";478;1828;61;0;2921;0;
"Groningen Airport Eelde";"2003 January";589;3454;51;0;3362;0;0
"Groningen Airport Eelde";"2003 February";651;3566;42;0;3075;0;0
"Groningen Airport Eelde";"2003 March";948;4158;49;0;3565;0;0
"Groningen Airport Eelde";"2003 April";946;4330;98;0;7439;0;0
"Groningen Airport Eelde";"2003 May";1256;4384;225;60;17049;0;0
"Groningen Airport Eelde";"2003 June";1304;3688;182;60;15252;0;0
"Groningen Airport Eelde";"2003 July";1154;4482;228;62;22852;0;0
"Groningen Airport Eelde";"2003 August";1152;3780;210;62;15587;0;0
"Groningen Airport Eelde";"2003 September";1144;3404;206;60;17514;0;0
"Groningen Airport Eelde";"2003 October";960;3692;199;62;16083;0;0
"Groningen Airport Eelde";"2003 November";684;2306;125;60;7515;0;0
"Groningen Airport Eelde";"2003 December";632;2226;111;60;8314;0;0
"Groningen Airport Eelde";"2004 January";640;1986;110;62;6907;0;0
"Groningen Airport Eelde";"2004 February";786;2470;159;88;8780;0;0
"Groningen Airport Eelde";"2004 March";1172;2568;181;108;10276;0;0
"Groningen Airport Eelde";"2004 April";1451;2380;183;96;11424;0;0
"Groningen Airport Eelde";"2004 May";1435;2626;199;40;13993;0;0
"Groningen Airport Eelde";"2004 June";1406;2846;196;44;12585;0;0
"Groningen Airport Eelde";"2004 July";1383;3284;180;44;12049;0;0
"Groningen Airport Eelde";"2004 August";1165;3038;164;44;12319;0;0
"Groningen Airport Eelde";"2004 September";1377;2780;185;44;13171;0;0
"Groningen Airport Eelde";"2004 October";1195;2450;171;42;10211;0;0
"Groningen Airport Eelde";"2004 November";770;2152;111;44;4056;0;0
"Groningen Airport Eelde";"2004 December";562;1224;86;36;3447;0;0
"Groningen Airport Eelde";"2005 January";698;1934;96;40;4387;0;0
"Groningen Airport Eelde";"2005 February";776;2006;108;40;4908;0;0
"Groningen Airport Eelde";"2005 March";1026;1786;120;46;4737;0;0
"Groningen Airport Eelde";"2005 April";1309;2316;143;42;6130;0;0
"Groningen Airport Eelde";"2005 May";1374;2624;253;40;17474;0;0
"Groningen Airport Eelde";"2005 June";1624;3486;322;44;19585;0;0
"Groningen Airport Eelde";"2005 July";1325;3364;202;42;10771;0;0
"Groningen Airport Eelde";"2005 August";1473;3538;239;46;19054;0;0
"Groningen Airport Eelde";"2005 September";1484;2802;243;44;16298;0;0
"Groningen Airport Eelde";"2005 October";1267;3182;183;42;11352;0;0
"Groningen Airport Eelde";"2005 November";872;1926;132;44;4768;0;0
"Groningen Airport Eelde";"2005 December";757;1976;98;28;3330;0;0
"Groningen Airport Eelde";"2006 January";770;3556;112;40;4467;0;0
"Groningen Airport Eelde";"2006 February";625;2922;113;40;5006;12;0
"Groningen Airport Eelde";"2006 March";839;3928;113;46;4520;0;0
"Groningen Airport Eelde";"2006 April";1115;3456;129;36;6644;0;0
"Groningen Airport Eelde";"2006 May";1220;3442;247;42;18759;0;0
"Groningen Airport Eelde";"2006 June";1434;3692;246;44;16444;0;0
"Groningen Airport Eelde";"2006 July";1302;3968;208;42;13275;0;0
"Groningen Airport Eelde";"2006 August";876;3660;213;46;19035;0;0
"Groningen Airport Eelde";"2006 September";1335;4358;232;54;16846;0;0
"Groningen Airport Eelde";"2006 October";1174;3702;245;72;13531;4;0
"Groningen Airport Eelde";"2006 November";1041;3154;209;118;5952;0;0
"Groningen Airport Eelde";"2006 December";686;2588;169;97;4533;0;0
"Groningen Airport Eelde";"2007 January";794;3162;183;110;5408;0;0
"Groningen Airport Eelde";"2007 February";882;3716;180;112;5252;0;0
"Groningen Airport Eelde";"2007 March";1093;4156;185;119;5841;0;0
"Groningen Airport Eelde";"2007 April";1422;4156;212;105;8314;0;0
"Groningen Airport Eelde";"2007 May";1379;4358;288;102;18568;1;0
"Groningen Airport Eelde";"2007 June";1299;3598;274;93;15756;0;0
"Groningen Airport Eelde";"2007 July";1209;3666;256;97;17958;0;0
"Groningen Airport Eelde";"2007 August";1417;4162;290;98;19107;1;0
"Groningen Airport Eelde";"2007 September";1368;4018;257;90;16755;0;0
"Groningen Airport Eelde";"2007 October";1384;4128;261;99;14445;0;0
"Groningen Airport Eelde";"2007 November";1051;3978;157;96;4830;0;0
"Groningen Airport Eelde";"2007 December";714;2296;103;61;3492;0;0
"Groningen Airport Eelde";"2008 January";882;3588;138;81;4750;1;0
"Groningen Airport Eelde";"2008 February";964;3962;137;82;4845;3;0
"Groningen Airport Eelde";"2008 March";837;4164;136;88;5302;2;0
"Groningen Airport Eelde";"2008 April";1286;5554;196;93;9020;0;0
"Groningen Airport Eelde";"2008 May";1532;5052;310;91;22151;0;0
"Groningen Airport Eelde";"2008 June";1368;4136;313;90;20158;0;0
"Groningen Airport Eelde";"2008 July";1265;4432;253;40;22223;0;0
"Groningen Airport Eelde";"2008 August";1149;4194;226;38;16330;0;0
"Groningen Airport Eelde";"2008 September";1402;4080;267;42;20445;0;0
"Groningen Airport Eelde";"2008 October";1108;3458;236;42;16456;0;0
"Groningen Airport Eelde";"2008 November";751;2694;118;41;4280;0;0
"Groningen Airport Eelde";"2008 December";590;2874;68;24;2989;0;0
"Groningen Airport Eelde";"2009 January";727;3466;80;40;3968;0;0
"Groningen Airport Eelde";"2009 February";706;3414;76;38;4081;0;0
"Groningen Airport Eelde";"2009 March";1102;5122;105;43;4851;0;0
"Groningen Airport Eelde";"2009 April";1246;4604;141;36;7241;0;0
"Groningen Airport Eelde";"2009 May";1327;4782;215;34;17220;0;0
"Groningen Airport Eelde";"2009 June";1339;4684;209;44;17348;0;0
"Groningen Airport Eelde";"2009 July";1286;4564;221;28;22411;0;0
"Groningen Airport Eelde";"2009 August";1445;5004;212;34;17744;0;0
"Groningen Airport Eelde";"2009 September";1388;4698;226;44;18094;0;0
"Groningen Airport Eelde";"2009 October";1199;4658;211;42;15558;0;0
"Groningen Airport Eelde";"2009 November";812;4428;108;42;3915;0;0
"Groningen Airport Eelde";"2009 December";660;2956;72;18;3613;0;0
"Groningen Airport Eelde";"2010 January";533;2752;77;26;3302;0;0
"Groningen Airport Eelde";"2010 February";673;3918;82;38;3791;0;0
"Groningen Airport Eelde";"2010 March";1086;2516;111;42;4935;0;0
"Groningen Airport Eelde";"2010 April";1149;5268;95;26;5473;0;0
"Groningen Airport Eelde";"2010 May";1373;5900;210;36;17357;0;0
"Groningen Airport Eelde";"2010 June";1780;7370;232;44;17011;0;0
"Groningen Airport Eelde";"2010 July";1682;5282;188;26;16825;0;0
"Groningen Airport Eelde";"2010 August";1423;4850;209;34;17872;0;0
"Groningen Airport Eelde";"2010 September";1481;4708;201;44;16804;0;0
"Groningen Airport Eelde";"2010 October";1171;4382;177;42;12639;0;0
"Groningen Airport Eelde";"2010 November";670;2158;96;37;3531;0;0
"Groningen Airport Eelde";"2010 December";383;1358;68;14;3119;0;0
"Groningen Airport Eelde";"2011 January";676;2042;77;22;3268;0;0
"Groningen Airport Eelde";"2011 February";680;2484;84;36;3884;0;0
"Groningen Airport Eelde";"2011 March";1089;4224;103;47;4290;0;0
"Groningen Airport Eelde";"2011 April";1316;4540;108;32;5173;0;0
"Groningen Airport Eelde";"2011 May";1344;4560;210;54;15817;0;0
"Groningen Airport Eelde";"2011 June";1274;3746;219;44;15380;0;0
"Groningen Airport Eelde";"2011 July";1250;3634;196;26;12622;0;0
"Groningen Airport Eelde";"2011 August";1203;3156;198;32;18931;0;0
"Groningen Airport Eelde";"2011 September";1271;3062;211;44;17497;0;0
"Groningen Airport Eelde";"2011 October";1154;3192;162;40;11189;0;0
"Groningen Airport Eelde";"2011 November";750;2752;68;36;2902;0;0
"Groningen Airport Eelde";"2011 December";531;2856;51;14;3374;0;0
"Groningen Airport Eelde";"2012 January";848;3584;87;46;4268;0;0
"Groningen Airport Eelde";"2012 February";759;2582;82;46;4805;0;0
"Groningen Airport Eelde";"2012 March";1042;4384;79;42;5079;0;0
"Groningen Airport Eelde";"2012 April";996;3344;112;28;6278;0;0
"Groningen Airport Eelde";"2012 May";1105;2848;240;72;23064;0;0
"Groningen Airport Eelde";"2012 June";1165;2856;270;92;24752;1;0
"Groningen Airport Eelde";"2012 July";1185;2846;269;102;24704;0;0
"Groningen Airport Eelde";"2012 August";1310;2744;277;102;32461;0;0
"Groningen Airport Eelde";"2012 September";1015;2476;260;94;26272;0;0
"Groningen Airport Eelde";"2012 October";976;2908;211;90;18936;0;0
"Groningen Airport Eelde";"2012 November";704;3174;78;44;5008;0;0
"Groningen Airport Eelde";"2012 December";368;1254;71;38;5185;0;0
"Groningen Airport Eelde";"2013 January";525;2336;76;42;5947;0;0
"Groningen Airport Eelde";"2013 February";552;1852;79;40;5938;0;0
"Groningen Airport Eelde";"2013 March";918;2270;81;40;7329;0;0
"Groningen Airport Eelde";"2013 April";533;1050;71;26;6282;0;0
"Groningen Airport Eelde";"2013 May";1045;3126;221;54;25647;0;0
"Groningen Airport Eelde";"2013 June";1115;3502;215;50;22933;0;0
"Groningen Airport Eelde";"2013 July";1240;3754;217;52;26411;0;0
"Groningen Airport Eelde";"2013 August";1225;4330;211;52;25065;0;0
"Groningen Airport Eelde";"2013 September";1088;3510;207;54;24314;0;0
"Groningen Airport Eelde";"2013 October";972;3116;172;52;19232;0;0
"Groningen Airport Eelde";"2013 November";708;2740;45;8;3727;0;0
"Groningen Airport Eelde";"2013 December";502;1824;40;8;3387;0;0
"Groningen Airport Eelde";"2014 January";606;2224;49;16;4410;0;0
"Groningen Airport Eelde";"2014 February";763;3430;47;16;4745;0;0
"Groningen Airport Eelde";"2014 March";930;2844;59;20;5037;0;0
"Groningen Airport Eelde";"2014 April";873;2646;110;36;10145;0;0
"Groningen Airport Eelde";"2014 May";1092;3246;190;32;20268;0;0
"Groningen Airport Eelde";"2014 June";1132;3052;234;78;20908;0;0
"Groningen Airport Eelde";"2014 July";1115;2844;254;90;24770;0;0
"Groningen Airport Eelde";"2014 August";1006;2046;259;88;22617;0;0
"Groningen Airport Eelde";"2014 September";938;1564;233;84;21205;0;0
"Groningen Airport Eelde";"2014 October";796;1742;210;92;18503;0;0
"Groningen Airport Eelde";"2014 November";692;1702;123;72;7873;0;0
"Groningen Airport Eelde";"2014 December";506;1160;122;80;8888;0;0
"Groningen Airport Eelde";"2015 January";483;1146;136;88;9473;0;0
"Groningen Airport Eelde";"2015 February";643;1410;117;74;9184;0;0
"Groningen Airport Eelde";"2015 March";803;1628;129;74;9320;0;0
"Groningen Airport Eelde";"2015 April";882;1388;169;62;10020;0;0
"Groningen Airport Eelde";"2015 May";902;608;265;70;23878;0;0
"Groningen Airport Eelde";"2015 June";1062;824;256;60;20455;0;0
"Groningen Airport Eelde";"2015 July";941;694;270;64;24945;0;0
"Groningen Airport Eelde";"2015 August";905;1020;244;62;20156;0;0
"Groningen Airport Eelde";"2015 September";887;1522;272;68;19980;0;0
"Groningen Airport Eelde";"2015 October";873;1412;244;76;18012;0;0
"Groningen Airport Eelde";"2015 November";578;1066;134;80;7368;0;0
"Groningen Airport Eelde";"2015 December";595;1184;136;82;8088;0;0
"Groningen Airport Eelde";"2016 January";437;1012;130;78;7262;0;0
"Groningen Airport Eelde";"2016 February";645;1258;127;80;7368;0;0
"Groningen Airport Eelde";"2016 March";754;1498;153;90;8999;0;0
"Groningen Airport Eelde";"2016 April";983;1416;163;80;9900;0;0
"Groningen Airport Eelde";"2016 May";954;1306;246;88;18481;0;0
"Groningen Airport Eelde";"2016 June";959;1468;222;78;15735;0;0
"Groningen Airport Eelde";"2016 July";948;1354;228;68;16498;0;0
"Groningen Airport Eelde";"2016 August";866;1514;209;72;17669;0;0
"Groningen Airport Eelde";"2016 September";954;1150;257;120;16620;0;0
"Groningen Airport Eelde";"2016 October";878;1138;287;168;14907;0;0
"Groningen Airport Eelde";"2016 November";704;1114;245;172;9117;0;0
"Groningen Airport Eelde";"2016 December";544;892;215;155;9895;0;0
"Groningen Airport Eelde";"2017 January";580;1383;222;158;9616;0;0
"Groningen Airport Eelde";"2017 February";584;1368;226;162;10268;0;0
"Groningen Airport Eelde";"2017 March";835;1644;262;188;10986;0;0
"Groningen Airport Eelde";"2017 April";830;1790;270;164;15907;0;0
"Groningen Airport Eelde";"2017 May";1094;1566;363;184;23466;0;0
