"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Eindhoven Airport";"2016";32657;2;30910;29899;4780197;0;0
"Eindhoven Airport";"2017";36487;0;34929;34057;5701220;0;0
"Eindhoven Airport";"2018";38645;2;37035;36084;6237755;0;0
"Eindhoven Airport";"2019";41441;0;40209;39182;6780775;0;0
"Eindhoven Airport";"2020";18821;1;17875;17248;2112785;0;0
"Eindhoven Airport";"2021";21706;0;20524;19550;2698424;0;0
"Maastricht Aachen Airport";"2001";22603;35931;12630;9465;359559;33463;
"Maastricht Aachen Airport";"2002";18810;28283;9209;6156;312333;39477;
"Maastricht Aachen Airport";"2003";15584;25104;7798;4619;273347;34255;0
"Maastricht Aachen Airport";"2004";13738;18318;7055;4183;228318;44221;0
"Maastricht Aachen Airport";"2005";11562;7778;7192;4696;304191;54569;0
"Maastricht Aachen Airport";"2006";16590;3422;12300;9707;270086;54152;0
"Maastricht Aachen Airport";"2007";15067;8141;9943;9058;134579;57898;0
"Maastricht Aachen Airport";"2008";16882;22902;10895;10176;231824;55383;0
"Maastricht Aachen Airport";"2009";13727;29421;7159;6737;135696;53351;0
"Maastricht Aachen Airport";"2010";15111;20299;8443;7796;226635;61975;0
"Maastricht Aachen Airport";"2011";11364;14746;5770;5265;333910;65402;0
"Maastricht Aachen Airport";"2012";10639;12624;5445;4762;305439;52562;0
"Maastricht Aachen Airport";"2013";10347;3168;6340;5635;429545;54029;0
"Maastricht Aachen Airport";"2014";9347;5421;5026;4185;241473;56693;0
"Maastricht Aachen Airport";"2015";9004;15026;4065;3422;195180;56622;0
"Maastricht Aachen Airport";"2016";8683;10605;3931;3000;176562;60480;0
"Maastricht Aachen Airport";"2017";9053;9306;4419;3332;167544;86770;0
"Maastricht Aachen Airport";"2018";10434;5345;6017;5008;275113;110823;0
"Maastricht Aachen Airport";"2019";11404;2681;7199;5784;435977;111457;0
"Maastricht Aachen Airport";"2020";8962;2690;6127;4597;81080;135985;0
"Maastricht Aachen Airport";"2021";9990;2912;6601;5188;97646;127994;0
"Groningen Airport Eelde";"2001";12226;49098;1828;639;94220;0;
"Groningen Airport Eelde";"2002";13683;54100;2250;929;107466;0;
"Groningen Airport Eelde";"2003";11420;43470;1726;486;137607;0;0
"Groningen Airport Eelde";"2004";13342;29804;1925;692;119218;0;0
"Groningen Airport Eelde";"2005";13985;30940;2139;498;122794;0;0
"Groningen Airport Eelde";"2006";12417;42426;2236;677;129012;16;0
"Groningen Airport Eelde";"2007";14012;45394;2646;1182;135726;2;0
"Groningen Airport Eelde";"2008";13134;48188;2398;752;148949;6;0
"Groningen Airport Eelde";"2009";13237;52380;1876;443;136044;0;0
"Groningen Airport Eelde";"2010";13404;50462;1746;409;122659;0;0
"Groningen Airport Eelde";"2011";12538;40248;1687;427;114327;0;0
"Groningen Airport Eelde";"2012";11473;35000;2036;796;180812;1;0
"Groningen Airport Eelde";"2013";10423;33410;1635;478;176212;0;0
"Groningen Airport Eelde";"2014";10449;28500;1890;704;169369;0;0
"Groningen Airport Eelde";"2015";9554;13902;2372;860;180879;0;0
"Groningen Airport Eelde";"2016";9626;15120;2482;1249;152451;0;0
"Groningen Airport Eelde";"2017";9432;17573;3428;1989;201786;0;0
"Groningen Airport Eelde";"2018";12042;19371;4435;3148;228698;0;0
"Groningen Airport Eelde";"2019";10963;20954;3390;2133;176022;0;0
"Groningen Airport Eelde";"2020";8126;31258;612;320;17528;0;0
"Groningen Airport Eelde";"2021";8982;48018;674;0;27260;0;0
